"",A : Abstraction,B : Algorithmic thinking,C : Collaboration,D : Consider,E : Integrating programming with other domains,F : Irrelevant,G : Isolated programming teaching,H : Planning,I : Problem solving,J : Design,K : Documentation,L : Entire process,M : Implementation,N : Instructions,O : Testing,P : Problems,Q : Domain problems,R : Programming as a language,S : Programming as a tool
1 : 1-133-17055966092840,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 : 10-133-4465139682790,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3 : 100-133-4250302691022,1,0,1,0,0,0,1,0,0,1,0,0,1,3,1,0,0,1,0
4 : 101-133-1932825120808,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,2
5 : 102-133-5311719464623,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
6 : 103-133-12352581850944,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
7 : 104-133-12139750382887,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
8 : 105-133-10325022283932,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
9 : 106-133-17024641665903,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10 : 107-133-4064977296961,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11 : 108-133-10245469323974,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12 : 109-133-14750169075667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13 : 11-133-4145005825333,0,1,1,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,0
14 : 110-133-8164643525221,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
15 : 111-133-11586782665492,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
16 : 112-133-316581326191,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0
17 : 113-133-16367655671346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18 : 114-133-4689175303706,0,0,1,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,0
19 : 115-133-5273217985181,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
20 : 116-133-5476645537817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21 : 117-133-13971586665115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
22 : 118-133-14972845478621,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
23 : 119-133-16902314744503,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
24 : 12-133-12463174011723,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,2,0
25 : 120-133-3254435364218,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26 : 121-133-12607722724671,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27 : 122-133-17288241521386,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 : 123-133-11032963233261,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
29 : 124-133-6932739900315,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0
30 : 125-133-1360978490147,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
31 : 126-133-630534343299,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32 : 127-133-10761177408808,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
33 : 128-133-2356322927459,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34 : 129-133-9570855103385,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35 : 13-133-2179316463871,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36 : 130-133-3339447814984,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
37 : 131-133-17302965925720,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
38 : 132-133-5230758736508,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39 : 133-133-4701250971268,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
40 : 14-133-10537474052711,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
41 : 15-133-12450064059689,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42 : 16-133-4788338184714,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
43 : 17-133-6504499499721,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0
44 : 18-133-16900200747016,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45 : 19-133-4590964778020,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
46 : 2-133-8202960206106,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
47 : 20-133-1314273936637,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
48 : 21-133-4312928805014,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
49 : 22-133-5390692048580,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50 : 23-133-17516243848896,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
51 : 24-133-8266011260125,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0
52 : 25-133-7909513372059,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
53 : 26-133-4617775987649,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
54 : 27-133-2239728736255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55 : 28-133-6444997950857,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
